species,collection_no,collection_name,specimen_ID,part,length,amber,age_ma
Atriculicoides incompletus,123018,Durtal amber,MZ Cer Ce Du 2,wing,0.65,amber,96.55
Brachypogon (Isohelea) polonicus,153481,"Baltic Amber (Zoological Museum, PAN, Warsaw collection)",IZPAN 41/73,wing,0.65,amber,35.95
Ektatotricha paradoxa,111688,Burmese amber (AMNH collection),AMNH Bu-244,body,0.65,amber,96.55
Electrothrips hystrix,123927,"Baltic amber, Konigsberg collection",NA,body,0.65,amber,35.95
Frirenia manca,110735,"Baltic Amber, GPIH collection",GPIC 4506 (Grohn 651),body,0.65,amber,35.95
Fusithrips crassipes,105969,Baissa (PIN collection 3064),PIN 3064/8547,forewing,0.65,not_amber,119
Leptoconops (Leptoconops) clava,119480,Ajka,SMNS UB-1-WK-1,wing,0.65,amber,86.7
Palaeobrachypogon remmi,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-46,wing,0.65,amber,91.85
Ptenidium kishenehnicum,117614,"Spring site, Middle Fork Flathead River (Kishenehn)",USNM 545816,body,0.65,not_amber,44.55
Syneucoila magnifica,110895,White Oaks Pit (Old Crossman's Clay Pits),AMNH NJ-1075,forewing,0.65,amber,91.85
Taeniothrips parvus,129227,Bitterfeld amber (MfN collection),MfN MB.I.795,body,0.65,amber,25.565
Leptoconops (Leptoconops) myanmaricus,123020,Burmese amber (BMNH coll),BMNH In.20168(6),wing,0.651,amber,96.55
Protoxythrips conclusus,124273,Bitterfeld amber (Hoffeins collection),Hoffeins 1477/5,forewing,0.655,amber,25.565
Archiaustroconops cretaceous,124276,"Jezzine, Lebanese amber (SMNS collection)",SMNS C31/18,wing,0.66,amber,127.2
Archiaustroconops dominiakae,122471,"Mdeyrij-Hammana, Casa Baabda (Azar coll)",Azar 523,wing,0.66,amber,123.955
Frirenia leporidis,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-1913b,wing,0.66,amber,35.95
Frirenia schevchenkoi,122997,"Rovno Amber, Klesov locality (SIZC K collection)",K-581,body,0.66,amber,35.95
Inka minuta,122590,"Taimyr amber, Yantardakh Hill (PIN collection 3130)",PIN 3130/176,body,0.66,amber,84.95
Kozarius perpetuus,111688,Burmese amber (AMNH collection),AMNH Bu-1163,forewing,0.66,amber,96.55
Micropeplus hoogendorni,123352,Lava camp mine,CNC 11079,elytron,0.66,not_amber,6.2895
Nascensluna mellea,113621,"Rovno Amber, Ukryantar factory material (SIZC UA collection)",SIZK UA-1601,body,0.66,amber,35.95
